"Treatment
(ºC)","Initial 
(mg/cm2)","Final
(mg/cm2)","Change
(mg/cm2)",,,Treatment,Temperature (ºC),Mean,Standard Deviation,Sample Size,Standard Error,Mean + SE,Mean - SE
26,552,563,11,9.818181818,,1,26,9.818181818,3.027149875,11,0.912720029,10.73090185,8.905461789
26,341,352,11,,,2,28,11.1,2.806737925,10,0.887568464,11.98756846,10.21243154
26,461,467,6,,,3,30,13.33333333,3.122498999,9,1.040833,14.37416633,12.29250033
26,430,437,7,,,4,26-30,10.54545455,3.23615934,11,0.975738754,11.5211933,9.569715792
26,312,320,8,,,,,,,,,,
26,364,374,10,,,,,,,,,,
26,468,479,11,,,,,,,,,,
26,449,460,11,,,,,,,,,,
26,398,415,17,,,,,,,,,,
26,394,401,7,,,,,,,,,,
26,360,369,9,,,,,,,,,,
28,517,528,11,11.1,,,,,,,,,
28,428,443,15,,,,,,,,,,
28,407,415,8,,,,,,,,,,
28,441,452,11,,,,,,,,,,
28,472,488,16,,,,,,,,,,
28,383,391,8,,,,,,,,,,
28,466,479,13,,,,,,,,,,
28,345,354,9,,,,,,,,,,
28,382,393,11,,,,,,,,,,
28,494,503,9,,,,,,,,,,
30,573,585,12,13.33333333,,,,,,,,,
30,354,369,15,,,,,,,,,,
30,532,545,13,,,,,,,,,,
30,393,410,17,,,,,,,,,,
30,269,277,8,,,,,,,,,,
30,517,526,9,,,,,,,,,,
30,469,484,15,,,,,,,,,,
30,306,322,16,,,,,,,,,,
30,431,446,15,,,,,,,,,,
26-30,306,312,6,10.54545455,,,,,,,,,
26-30,372,378,6,,,,,,,,,,
26-30,333,344,11,,,,,,,,,,
26-30,567,578,11,,,,,,,,,,
26-30,379,392,13,,,,,,,,,,
26-30,490,505,15,,,,,,,,,,
26-30,391,401,10,,,,,,,,,,
26-30,509,523,14,,,,,,,,,,
26-30,369,377,8,,,,,,,,,,
26-30,337,351,14,,,,,,,,,,
26-30,365,373,8,,,,,,,,,,
