,Sample #,Date,Time,Lat ,Long,Distance from LT,Salinity,Temperature ,pH,DO (% sat) ,TA (umol kg) Corrected ,DIC (umol Kg) Density and standard corrected,DIN uM,PO4 uM,pCO2 IN uatm,Omega aragonite,Revelle IN,DO mg/L predicted at 100% saturatiion ,AOU (umol/L),Equilibrium DIC from CO2Sys TCO2 in (mmol/kgSW) assuming CO2=400 at observed sal temp and TA,Equilibrium CO2 in (mmol/kgSW) at observed sal temp and TA and CO2=400,Ecxcess DIC (umol/kg),Excess CO2 (umol/kg),,,NH4 uM,NOx uM,DOC (umol/L),DO (mg/L),,,,,TA SE,DIC SE,DOC SE,,pH in,fCO2 in (matm),pCO2 in (matm),HCO3 in (mmol/kgSW),CO3 in (mmol/kgSW),CO2 in (mmol/kgSW),B Alk in (mmol/kgSW),OH in (mmol/kgSW),P Alk in (mmol/kgSW),Si Alk in (mmol/kgSW) ,Revelle in,WCa in,WAr in,xCO2 in (dry at 1 atm) (ppm),,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
Lizard Island,LI_WTS_ TR_1,9/17/17,01:40,-14.663874,145.451558,-0.5,33.1,23,7.89,96.9,2381.081782,2239.873,1.906,0.472,890.1,1.87,14.111,7.070146901,40.62040935,2094.4,12.037594,145.429318,14.750109,,,1.218,0.6879,,8.37,,,,,1.963983538,0.200,,,7.755,887.2,890.1,2095.6,117.453406,26.787703,47.0,2.828001,0.729105,0.0,14.111,2.86,1.87,915.0,,0.000,0.0,8.111,333.7,335.1,2110.8,107.8,21.2,53.3,0.6,0.7,0.0,15.008,2.61,1.63,337.1
Lizard Island,LI_WTS_ TR_2,9/17/17,1:45,-14.663874,145.451558,0,31.9,22.5,7.92,95.7,2406.155071,2274.105,1.817,0.407,914.9,1.81,14.632,7.183036204,36.78011864,2125.9,12.275295,148.185882,15.801625,,,1.238,0.5789,,8.36,,,,,1.963983538,1.347,,,7.752,911.9,914.9,2132.9,113.098651,28.076920,43.8,2.623498,0.611631,0.0,14.632,2.78,1.81,939.7,,0.000,0.0,8.100,350.1,351.6,2147.9,103.8,22.4,49.5,0.6,0.6,0.0,15.604,2.52,1.58,353.7
Lizard Island,LI_WTS_ TR_3,9/17/17,01:50,-14.663874,145.451558,0.5,33,22.4,8.01,96.6,2425.218731,2274.964,1.809,0.357,844.2,1.97,13.945,7.150117455,40.30882954,2136.5,12.236232,138.427546,13.588489,,,1.288,0.5209,,8.44,,,,,1.963983538,0.900,,,7.783,841.4,844.2,2125.2,123.892724,25.824720,48.8,2.849165,0.553393,0.0,13.945,3.02,1.97,867.0,,0.000,0.0,8.132,322.8,324.2,2140.1,114.3,20.5,55.3,0.7,0.5,0.0,14.759,2.77,1.73,326.1
Lizard Island,LI_WTS_ TR_4,9/17/17,1:55,-14.663874,145.451558,1,33.4,22.4,8,96.4,2444.282391,2285.456,1.683,0.348,819.2,2.05,13.672,7.133539873,40.20187898,2150.0,12.210258,135.410802,12.797293,,,1.228,0.4549,,8.42,,,,,1.963983538,,,,7.796,816.5,819.2,2131.0,129.408215,25.007550,51.0,2.960559,0.484336,0.0,13.672,3.14,2.05,841.3,,0.000,0.0,8.147,312.6,313.9,2145.9,119.7,19.8,57.8,0.7,0.5,0.0,14.430,2.89,1.81,315.8
Lizard Island,LI_WTS_ TR_5,9/17/17,02:00,-14.663874,145.451558,2,34,22.6,8.01,95.7,2379.692981,2195.832,1.711,0.381,691.0,2.25,12.636,7.083488051,38.6409984,2091.8,12.107178,104.023298,8.807984,,,1.218,0.4929,,8.32,,,,,1.963983538,0.150,,,7.849,688.7,691.0,2032.4,142.470119,20.915161,58.3,3.442125,0.530991,0.0,12.636,3.44,2.25,709.8,,0.000,0.0,8.205,259.9,261.1,2046.8,132.6,16.4,66.4,0.8,0.5,0.0,13.214,3.19,2.00,262.6
Lizard Island,LI_WTS_ TR_6,9/17/17,2:05,-14.663874,145.451558,4,34.2,23.3,8.14,96.3,2363.915552,2140.313,1.807,0.349,566.1,2.64,11.443,6.988341958,40.36431381,2071.9,11.874343,68.402246,4.929528,,,1.238,0.5689,,8.28,,,,,1.963983538,0.250,,,7.921,564.2,566.1,1956.8,166.757273,16.803871,68.7,4.341388,0.624837,0.0,11.443,4.03,2.64,582.2,,0.000,0.0,8.291,205.3,206.2,1971.0,156.3,13.0,78.7,1.0,0.6,0.0,11.865,3.76,2.36,207.5
Lizard Island,LI_WTS_ TR_7,9/17/17,02:10,-14.663874,145.451558,10,33.6,23.7,8.17,97.9,2347.165414,2114.273,1.836,0.371,532.0,2.75,11.179,6.963537253,43.63946085,2058.1,11.788812,56.180516,3.888959,,,1.278,0.5579,,8.36,,,,,1.963983538,1.400,,,7.943,530.2,532.0,1925.9,172.731660,15.677771,70.5,4.685344,0.617270,0.0,11.179,4.20,2.75,547.5,,0.000,0.0,8.320,189.4,190.2,1940.1,162.2,12.0,81.1,1.0,0.6,0.0,11.575,3.91,2.45,191.3
Lizard Island,LI_WTS_ TR_8,9/17/17,2:15,-14.663874,145.451558,20,33.7,23.8,8.17,97.8,2328.081441,2122.161,1.759,0.434,610.5,2.47,11.821,6.947390986,42.89403168,2041.0,11.752185,81.167339,6.186044,,,1.188,0.5709,,8.32,,,,,1.963983538,1.400,,,7.888,608.6,610.5,1949.1,155.117187,17.938229,64.0,4.177279,0.623963,0.0,11.821,3.77,2.47,628.5,,0.000,0.0,8.265,217.7,218.7,1963.6,144.8,13.8,73.4,0.9,0.6,0.0,12.310,3.49,2.19,220.0
Lizard Island,LI_WTS_ TR_9,9/17/17,12:35,-14.663874,145.451558,-0.5,33,30.1,8.08,105.2,2551.587998,2352.630337,1.739,0.39,936.4,2.65,12.460,6.279407501,55.3310156,2169.5,10.115317,183.114712,13.563535,,,1.098,0.6409,,8.05,,,,,1.963983538,0.9,,,7.766,933.5,936.4,2168.7,160.209835,23.678852,56.3,5.396569,0.701028,0.0,12.460,3.97,2.65,976.7,,0.000,0.0,8.232,262.4,263.6,2188.8,147.1,16.7,67.1,0.8,0.7,0.0,13.296,3.56,2.23,265.2
Lizard Island,LI_WTS_ TR_10,9/17/17,12:40,-14.663874,145.451558,0,32.5,26.9,8.17,104.3,2337.573998,2029.52795,1.997,0.36,399.9,3.63,9.612,6.634350852,54.23903587,2029.7,10.939347,-0.206059,-0.002021,,,1.458,0.5389,,8.37,,,,,1.963983538,0.3,,,8.047,398.7,399.9,1795.3,223.303721,10.937325,87.3,7.739618,0.623924,0.0,9.612,5.51,3.63,414.2,,0.000,0.0,8.477,123.5,124.1,1810.2,211.5,7.9,102.4,1.5,0.6,0.0,9.908,5.13,3.21,124.8
