Treatment..ÂºC,Initial...mg.cm2.,final_mg_cm2,change_Mg.Cm2
26,552,563,11
26,341,352,11
26,461,467,6
26,430,437,7
26,312,320,8
26,364,374,10
26,468,479,11
26,449,460,11
26,398,415,17
26,394,401,7
26,360,369,9
28,517,528,11
28,428,443,15
28,407,415,8
28,441,452,11
28,472,488,16
28,383,391,8
28,466,479,13
28,345,354,9
28,382,393,11
28,494,503,9
30,573,585,12
30,354,369,15
30,532,545,13
30,393,410,17
30,269,277,8
30,517,526,9
30,469,484,15
30,306,322,16
30,431,446,15
26-30,306,312,6
26-30,372,378,6
26-30,333,344,11
26-30,567,578,11
26-30,379,392,13
26-30,490,505,15
26-30,391,401,10
26-30,509,523,14
26-30,369,377,8
26-30,337,351,14
26-30,365,373,8
